" ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"Park Bahçe ve Yeşil Alanlar Dairesi Başkanlığı 2021 yılı sonu itibari ile faaliyet verileri","","","","","","","","","","","","","","","","","","","","","",""
"AÇIK VERİ PLATFORMU GÖSTERGE NOSU","QPR GÖSTERGE ADI","FAALİYET KONUSU","BİRİM","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",""
"1","-","Yıl İçinde Yeni Yapılan Park Sayısı","Adet","70","48","51","199","16","7","1","16","20","13","6","-","7","1","10","7","10","11",""
"2","Yıl İçinde Yapılan Yeşil Alan Miktarı","Yıl İçinde Yapılan Yeşil Alan Miktarı","m2","755,000","3,500,000","6,345,052","5,258,045","2,015,956","315,562","85,828","243,481","1,064,273","1,220,614","2,432,627","937,393","1,787,406","2,018,835","2,419,751","572,585","1,692,812","4,081,932",""
"3","Revize edilen Yeşil Alan Miktarı","Revize edilen Yeşil Alan Miktarı","m2","245,000","1,100,000","2,706,000","1,007,577","1,266,685","289,541","152,440","302,231","1,611,678","1,578,960","1,713,850","765,435","1,206,353","3,058,228","1,642,250","310,679","708,398","298,959",""
"4","Bakımı Yapılan Yeşil Alan Miktarı","Bakımı Yapılan Yeşil Alan Miktarı","m2","30,864,933","34,364,933","38,401,985","45,968,030","47,983,986","48,299,548","48,385,376","48,628,857","49,693,130","50,913,744","53,346,371","54,283,762","56,071,170","58,090,005","60,037,756","54,776,205","55,935,532","56,698,269",""
"5","Dikilen Ağaç Sayısı","Dikilen Ağaç Sayısı","Adet","99,685","230,000","215,000","216,724","198,269","34,637","40,048","72,514","166,786","136,795","106,983","86,881","295,371","179,656","49,158","23,577","54,628","55,888",""
"6","-","Dikilen Çalı Sayısı","Adet","450,000","600,000","200,000","155,657","81,113","16,259","156,450","32,750","476,728","640,235","609,638","865,329","732,695","3,882,953","1,965,202","1,695,824","2,031,220","2,876,023",""
"7","Silvikültürel Bakımı ve Restorasyonu Yapılan Ağaç Sayısı","Onarılan Anıt Ağaç Sayısı*","Adet","183","223","500","1,001","708","0","57","750","750","570","0","1,146","2,100","2,472","2,547","63","1,132","945",""
"8","","Bakımı Yapılan Ağaç Sayısı*","Adet","31,209","35,554","62,616","74,317","56,561","35,950","17,207","20,653","81,257","102,257","102,036","143,681","448,225","473,331","532,159","189,079","143,811","170,366",""
"9","Yıl İçinde Kurulan Kurulan Fitness ve Çocuk Oyun Grubu Sayısı","Yıl İçinde Kurulan Kurulan Fitness ve Çocuk Oyun Grubu Sayısı","Adet","","","","","","","","","","","","123","134","148","137","43","167","165",""
"10","Kişi Başına Düşen Aktif Yeşil Alan Miktarı ","Kişi Başına Düşen Aktif Yeşil Alan Miktarı ","m2/kişi","","","","","","","","","","","","5.89 ","5.81 ","5.89 ","5.89 ","7.04 ","7.49 ","7.73 ",""
"2/28/2022","Kaynak:https://www.ibb.istanbul/icerik/faaliyet-raporlari","","","","","","","","","","","","","","","","","","","","",""
"* Onarılan Anıt Ağaç ve Bakımı Yapılan Ağaç Sayısı toplamı ""Silvikültürel Bakımı ve Restorasyonu Yapılan Ağaç Sayısı"" göstergesini vermektedir.","","","","","","","","","","","","","","","","","","","","","",""
